"タイトル","説明","品物番号","定価",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ85　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1055 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1019WNK LE9","18900",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ85　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1055 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1019WNK LJ9","22600",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1050 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1009WNK LE9","18900",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ85　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1050 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1019WWK LE9","18900",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1050 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1009WNK LJ9","22600",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ85　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1050 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：150 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1019WWK LJ9","22600",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1045 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：149.2 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1009WWK LE9","18900",
"天井埋込型　LED（白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　調光タイプ（ライコン別売）／埋込穴φ75　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ75 mm　<br>埋込高：96 mm<br>質量：0.6 kg<br>器具光束：1045 lm　<br>電圧：100～242 V　<br>消費電力：7 W　<br>消費効率：149.2 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】鋼板（ホワイトつや消し仕上）<br>【枠】鋼板（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ75、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFxNQ28861K<br>【適合調光器（別売）】ライトマネージャーFxNQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21526<br>【適合調光器（別売）】信号線式ライコンNQ21516<br>【適合調光器（別売）】信号線式ライコンNQ21506<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21535U<br>【適合調光器（別売）】ライトコントロール・信号線式（LED・インバータ蛍光灯用）NQ21532U<br>【適合リニューアルプレート（別売）】埋込穴φ100用NNN28023K<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（約1％～100％）<br>セパレートセルコン（A、AN、NTタイプ）との組み合わせ可能<br>入力電流（100V時）：0.074 A<br>入力電流（200V時）：0.038 A<br>入力電流（242V時）：0.034 A<br>注）調光する場合は適合調光器（別売）と組み合わせてご使用ください。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは130mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1009WWK LJ9","22600",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ85　白熱電球60形1灯器具相当　LED 60形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：625 lm　<br>電圧：100～242 V　<br>消費電力：4.2 W　<br>消費効率：148.8 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.044 A<br>入力電流（200V時）：0.025 A<br>入力電流（242V時）：0.024 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND0619WNK LE9","14800",
"天井埋込型　LED（昼白色）　ダウンライト　ビーム角80度・拡散タイプ・光源遮光角15度　埋込穴φ85　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（昼白色）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ85 mm　<br>埋込高：98 mm<br>質量：0.6 kg<br>器具光束：1725 lm　<br>電圧：100～242 V　<br>消費電力：11.6 W　<br>消費効率：148.7 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミダイカスト（ホワイトつや消し仕上）<br>【枠】アルミダイカスト（ホワイトつや消し仕上）<br>天井埋込型、埋込穴φ85、ビーム角80度・拡散タイプ・光源遮光角15度<br>Ra85<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>入力電流（100V時）：0.124 A<br>入力電流（200V時）：0.061 A<br>入力電流（242V時）：0.052 A<br>注）調光はできません。<br>注）直下近接限度30cm<br>注）断熱施工仕様ではありません。<br>注）施工時、埋込高さは115mm以上必要となります。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","XND1519WNK LE9","25300",
