"タイトル","説明","品物番号","定価","note",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ150　CDM-R70形1灯器具相当　LED 350形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ150 mm　<br>埋込高：95 mm<br>質量：1 kg<br>器具光束：3975 lm　<br>電圧：100～242 V　<br>消費電力：27.4 W　<br>消費効率：145 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ150、浅型10H・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ175用NNN80005K<br>【適合リニューアルプレート（別売）】埋込穴φ200用NNN80006K<br>【適合リニューアルプレート（別売）】埋込穴φ250用NNN80007<br>【適合リニューアルプレート（別売）】埋込穴φ300用NNN80008<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35438K LD9","84700","受注品",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ150　CDM-R70形1灯器具相当　LED 350形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ150 mm　<br>埋込高：95 mm<br>質量：1 kg<br>器具光束：3890 lm　<br>電圧：100～242 V　<br>消費電力：27.4 W　<br>消費効率：141.9 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ150、浅型10H・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ175用NNN80005K<br>【適合リニューアルプレート（別売）】埋込穴φ200用NNN80006K<br>【適合リニューアルプレート（別売）】埋込穴φ250用NNN80007<br>【適合リニューアルプレート（別売）】埋込穴φ300用NNN80008<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35439K LD9","84700","受注品",
"舞台演出用　天井埋込型　LED（電球色）　客席ダウンライト　浅型10H・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ150　CDM-R70形1灯器具相当　LED 350形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ150 mm　<br>埋込高：95 mm<br>質量：1 kg<br>器具光束：3790 lm　<br>電圧：100～242 V　<br>消費電力：27.4 W　<br>消費効率：138.3 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ150、浅型10H・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ175用NNN80005K<br>【適合リニューアルプレート（別売）】埋込穴φ200用NNN80006K<br>【適合リニューアルプレート（別売）】埋込穴φ250用NNN80007<br>【適合リニューアルプレート（別売）】埋込穴φ300用NNN80008<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35434K LD9","84700","",
"舞台演出用　天井埋込型　LED（電球色）　客席ダウンライト　浅型10H・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ150　CDM-R70形1灯器具相当　LED 350形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ150 mm　<br>埋込高：95 mm<br>質量：1 kg<br>器具光束：3710 lm　<br>電圧：100～242 V　<br>消費電力：27.4 W　<br>消費効率：135.4 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ150、浅型10H・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ175用NNN80005K<br>【適合リニューアルプレート（別売）】埋込穴φ200用NNN80006K<br>【適合リニューアルプレート（別売）】埋込穴φ250用NNN80007<br>【適合リニューアルプレート（別売）】埋込穴φ300用NNN80008<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35435K LD9","84700","",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ100　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>質量：0.6 kg<br>器具光束：1000 lm　<br>電圧：100～242 V　<br>消費電力：7.4 W　<br>消費効率：135.1 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ100、浅型10H・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ125用NNN80000Z<br>【適合リニューアルプレート（別売）】埋込穴φ150用NNN80003Z<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）施工時、埋込高さは100mm以上必要となります。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35418K LD9","31900","受注品",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ100　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>質量：0.6 kg<br>器具光束：985 lm　<br>電圧：100～242 V　<br>消費電力：7.4 W　<br>消費効率：133.1 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ100、浅型10H・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ125用NNN80000Z<br>【適合リニューアルプレート（別売）】埋込穴φ150用NNN80003Z<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）施工時、埋込高さは100mm以上必要となります。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35419K LD9","31900","受注品",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ100　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>質量：0.6 kg<br>器具光束：1620 lm　<br>電圧：100～242 V　<br>消費電力：12.4 W　<br>消費効率：130.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ100、浅型10H・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ125用NNN80000Z<br>【適合リニューアルプレート（別売）】埋込穴φ150用NNN80003Z<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）施工時、埋込高さは100mm以上必要となります。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35498K LD9","37400","受注品",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ200　セラメタ150形1灯器具相当　LED 1000形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ200 mm　<br>埋込高：217 mm<br>質量：1.6 kg<br>器具光束：9495 lm　<br>電圧：100～242 V　<br>消費電力：73.6 W　<br>消費効率：129 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ200、広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35409K LD9","169000","受注品",
"舞台演出用　天井埋込型　LED（電球色）　客席ダウンライト　浅型10H・広角タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ100　コンパクト形蛍光灯FDL27形1灯器具相当　LED 100形","LED（電球色）　<br>色温度：3000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>質量：0.6 kg<br>器具光束：955 lm　<br>電圧：100～242 V　<br>消費電力：7.4 W　<br>消費効率：129 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>【反射板（下部）】アルミ（銀色鏡面仕上）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ100、浅型10H・広角タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ125用NNN80000Z<br>【適合リニューアルプレート（別売）】埋込穴φ150用NNN80003Z<br>埋込型<br>広角タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）施工時、埋込高さは100mm以上必要となります。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35414K LD9","31900","",
"舞台演出用　天井埋込型　LED（白色）　客席ダウンライト　浅型10H・拡散タイプ・光源遮光角30度　調光タイプ（ライコン別売）／埋込穴φ100　コンパクト形蛍光灯FHT32形1灯器具相当　LED 150形","LED（白色）　<br>色温度：4000 K　<br>光源寿命40000時間（光束維持率85％）<br>埋込穴径：φ100 mm　<br>埋込高：80 mm<br>質量：0.6 kg<br>器具光束：1595 lm　<br>電圧：100～242 V　<br>消費電力：12.4 W　<br>消費効率：128.6 lm/W<br>【反射板（上部）】プラスチック（ホワイト）<br>調光方式：PWM（PC）<br>天井埋込型、埋込穴φ100、浅型10H・拡散タイプ・光源遮光角30度<br>Ra85<br>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br>【適合調光器（別売）】信号線式ライコンNQ21505<br>【適合調光器（別売）】信号線式ライコンNQ21502<br>【適合調光装置（別売）】調光ユニットパネル<br>【適合調光装置（別売）】FDUシリーズ壁据置型調光装置<br>【適合調光装置（別売）】WDUシリーズ壁付型調光装置<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72380K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72340K<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72385<br>【適合調光装置（別売）】DMX-PWM信号変換器NNQ72345<br>【適合リニューアルプレート（別売）】埋込穴φ125用NNN80000Z<br>【適合リニューアルプレート（別売）】埋込穴φ150用NNN80003Z<br>埋込型<br>拡散タイプ<br>●天井面取付専用<br>調光範囲（0～100％）<br>注）直下近接限度30cm<br>注）適合調光器・適合調光装置と組み合わせてご使用ください。（別売）<br>注）信号線式ライコンNQ21505、NQ21502のツマミで消灯させる場合は、切替スイッチを「3」に設定してください。<br>注）ライトコントロールNQ21506でも調光可能ですが、消灯操作はライトコントロールの電源スイッチで行ってください。<br>注）施工時、埋込高さは100mm以上必要となります。<br>注）断熱施工仕様ではありません。<br>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。<br>","NNQ35499K LD9","37400","受注品",
