"タイトル","説明","品物番号","定価","note","isCombo",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.1 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）調光機能をご使用の場合（信号線を引き込む場合）、吊具は使用できません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450AHN LA9","36050","","",
"天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：150 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.1 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41534<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）調光はできません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450AHN LE9","33050","","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.4 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK42533<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）調光機能をご使用の場合（信号線を引き込む場合）、吊具は使用できません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450DHN LA9","36250","","",
"天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：50 mm<br/>質量：2.4 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK42533<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450DHN LE9","33250","","",
"天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：50 mm<br/>質量：1.7 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41533<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>【オプション（別売）】片反射笠アダプタFSK41020<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）適合調光器（別売）をご使用ください。<br/>注）調光機能をご使用の場合（信号線を引き込む場合）、吊具は使用できません。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）片反射笠アダプタとガードを組み合わせて使用する場合は、ガードの加工が必要です。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450NHN LA9","36050","","",
"天井直付型　40形　一体型LEDベースライト　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：50 mm<br/>質量：1.7 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41533<br/>【オプション（別売）】片反射笠アダプタFSK41020<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）片反射笠アダプタとガードを組み合わせて使用する場合は、ガードの加工が必要です。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX450NHN LE9","33050","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：70 mm<br/>質量：2.7 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK42533<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459DHN LA9","37500","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　Dスタイル／富士型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：230 mm　<br/>長：1250 mm　<br/>高：70 mm<br/>質量：2.7 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK42533<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459DHN LE9","34500","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　連続調光型調光タイプ（ライコン別売）　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：70 mm<br/>質量：1.9 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜約10～100％連続調光型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41533<br/>【適合調光器（別売）】ライトマネージャーFx NQ28861K<br/>【適合調光器（別売）】ライトマネージャーFx NQ28841K<br/>【適合調光器（別売）】信号線式ライコンNQ21526<br/>【適合調光器（別売）】信号線式ライコンNQ21516<br/>【適合調光器（別売）】信号線式ライコンNQ21506<br/>【適合調光器（別売）】信号線式ライコンNQ21505<br/>【適合調光器（別売）】信号線式ライコンNQ21502<br/>600ピッチ、800ピッチのボルトに対応します。<br/>セパレートセルコン（A、AN・NTタイプ）との組み合わせ可能<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）適合調光器（別売）をご使用ください。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459NHN LA9","37200","","",
"リニューアル用　天井直付型　40形　一体型LEDベースライト　iスタイル／ストレートタイプ／笠なし型　Hf蛍光灯32形定格出力型2灯器具相当／Hf蛍光灯63形定格出力型1灯器具相当　Hf32形定格出力型2灯／Hf63形定格出力型・5200 lm","LED（昼白色）　<br/>色温度：5000 K　<br/>光束維持時間40000時間（光束維持率85％）<br/>幅：80 mm　<br/>長：1225 mm　<br/>高：70 mm<br/>質量：1.9 kg<br/>器具光束：5100 lm　<br/>安定器出力型：定格出力型　<br/>安定器補足：＜出力固定型＞　<br/>電圧：100～242 V　<br/>消費電力：26.3 W　<br/>消費効率：193.9 lm/W<br/>【本体】鋼板（白色粉体塗装）<br/>【ライトバー（カバー）】ポリカーボネート（乳白）<br/>天井直付型、省エネタイプ・5200 lmタイプ・昼白色<br/>Ra83<br/>【適合ガード（別売）】FK41533<br/>600ピッチ、800ピッチのボルトに対応します。<br/>注）本器具は、パナソニック製iDシリーズ専用の器具本体とライトバーとの組み合わせで性能を満足します。ライトバーの単独使用禁止およびパナソニック製iDシリーズ以外の商品とは組み合わせをしないでください。<br/>注）調光はできません。<br/>注）リニューアルの場合、現場の吊ボルトの長さをご確認お願いします。<br/>注）一般屋内用器具です。屋外環境（軒下など半屋外を含む）や腐食性ガスの発生する場所、太陽の光が直接器具に当たる場所では使用できません。<br/>注）LEDにはバラツキがあるため、同一品番商品でも商品ごとに発光色、明るさが異なる場合があります。","XFX459NHN LE9","34200","","",
